iter	Passed	Remaining
577	13521	9871
578	13543	9847
579	13566	9824
580	13590	9800
581	13612	9776
582	13637	9754
583	13660	9730
584	13684	9707
585	13708	9684
586	13729	9660
587	13754	9637
588	13775	9612
589	13801	9590
590	13825	9568
591	13851	9546
592	13874	9522
593	13899	9500
594	13922	9476
595	13945	9452
596	13968	9429
597	13990	9405
598	14013	9381
599	14036	9357
600	14059	9334
601	14082	9310
602	14104	9286
603	14126	9261
604	14149	9238
605	14171	9213
606	14193	9189
607	14217	9166
608	14239	9142
609	14261	9118
610	14285	9094
611	14308	9071
612	14332	9048
613	14355	9024
614	14376	9000
615	14400	8976
616	14422	8952
617	14444	8928
618	14467	8904
619	14489	8880
620	14511	8856
621	14535	8833
622	14560	8810
623	14584	8787
624	14606	8763
625	14632	8742
626	14656	8719
627	14678	8694
628	14701	8671
629	14723	8647
630	14748	8624
631	14770	8600
632	14792	8576
633	14819	8554
634	14841	8530
635	14867	8509
636	14889	8484
637	14914	8462
638	14949	8445
639	14983	8428
640	15017	8410
641	15041	8387
642	15068	8366
643	15094	8343
644	15127	8326
645	15154	8304
646	15177	8280
647	15204	8258
648	15227	8235
649	15253	8213
650	15278	8190
651	15303	8167
652	15327	8144
653	15352	8122
654	15377	8099
655	15402	8076
656	15427	8054
657	15452	8031
658	15491	8016
659	15520	7995
660	15546	7973
661	15571	7950
662	15597	7928
663	15621	7904
664	15650	7884
665	15674	7860
666	15702	7839
667	15728	7817
668	15755	7795
669	15785	7774
670	15819	7756
671	15850	7736
672	15882	7717
673	15909	7695
674	15953	7681
675	16005	7671
676	16050	7657
677	16073	7633
678	16099	7611
679	16126	7589
680	16151	7565
681	16185	7546
682	16211	7524
683	16234	7500
684	16256	7475
685	16281	7452
686	16305	7428
687	16341	7410
688	16363	7386
689	16386	7362
690	16411	7338
691	16433	7314
692	16455	7289
693	16479	7266
694	16501	7241
695	16526	7218
696	16548	7194
697	16571	7169
698	16594	7146
699	16620	7123
700	16647	7100
701	16676	7079
702	16702	7056
703	16729	7034
704	16753	7010
705	16779	6987
706	16808	6965
707	16830	6941
708	16853	6917
709	16878	6893
710	16901	6869
711	16928	6847
712	16952	6823
713	16978	6800
714	17000	6776
715	17025	6753
716	17049	6729
717	17071	6704
718	17094	6680
719	17116	6656
720	17142	6633
721	17164	6608
722	17186	6584
723	17210	6561
724	17241	6540
725	17268	6517
726	17296	6495
727	17320	6471
728	17349	6449
729	17383	6429
730	17415	6408
731	17447	6387
732	17474	6365
733	17496	6340
734	17519	6316
735	17545	6293
736	17567	6269
737	17592	6245
738	17615	6221
739	17644	6199
740	17667	6175
741	17691	6151
742	17716	6128
743	17741	6104
744	17763	6080
745	17792	6057
746	17818	6034
747	17847	6012
748	17871	5989
749	17894	5964
750	17916	5940
751	17941	5916
752	17963	5892
753	17988	5868
754	18010	5844
755	18031	5819
756	18055	5795
757	18077	5771
758	18099	5747
759	18123	5723
760	18145	5698
761	18167	5674
762	18192	5650
763	18214	5626
764	18238	5602
765	18259	5577
766	18282	5553
767	18307	5530
768	18330	5506
769	18355	5482
770	18378	5458
771	18404	5435
772	18427	5411
773	18454	5388
774	18477	5364
775	18504	5341
776	18527	5317
777	18551	5293
778	18576	5269
779	18599	5246
780	18628	5223
781	18653	5200
782	18675	5175
783	18697	5151
784	18721	5127
785	18743	5103
786	18765	5078
787	18793	5056
788	18819	5032
789	18845	5009
790	18878	4988
791	18905	4965
792	18928	4940
793	18953	4917
794	18975	4893
795	18999	4869
796	19024	4845
797	19049	4822
798	19075	4798
799	19100	4775
800	19125	4751
801	19152	4728
802	19177	4704
803	19205	4681
804	19231	4658
805	19259	4635
806	19286	4612
807	19317	4590
808	19345	4567
809	19369	4543
810	19396	4520
811	19430	4498
812	19456	4475
813	19484	4452
814	19509	4428
815	19537	4405
816	19562	4381
817	19585	4357
818	19608	4333
819	19634	4310
820	19659	4286
821	19685	4262
822	19709	4238
823	19738	4216
824	19766	4192
825	19794	4169
826	19825	4147
827	19852	4123
828	19876	4099
829	19901	4076
830	19925	4052
831	19952	4028
832	19975	4004
833	20000	3980
834	20023	3956
835	20049	3933
836	20071	3908
837	20093	3884
838	20116	3860
839	20139	3836
840	20163	3812
841	20189	3788
842	20211	3764
843	20237	3740
844	20259	3716
845	20285	3692
846	20307	3668
847	20331	3644
848	20354	3620
849	20376	3595
850	20402	3572
851	20424	3547
852	20449	3524
853	20471	3499
854	20493	3475
855	20519	3451
856	20541	3427
857	20565	3403
858	20587	3379
859	20610	3355
860	20637	3331
861	20659	3307
862	20682	3283
863	20704	3259
864	20727	3234
865	20750	3210
866	20772	3186
867	20799	3163
868	20822	3138
869	20845	3114
870	20868	3090
871	20890	3066
872	20915	3042
873	20938	3018
874	20963	2994
875	20986	2970
876	21007	2946
877	21031	2922
878	21053	2898
879	21075	2873
880	21099	2850
881	21121	2825
882	21145	2801
883	21167	2777
884	21189	2753
885	21216	2729
886	21239	2705
887	21262	2681
888	21291	2658
889	21319	2635
890	21342	2610
891	21366	2586
892	21390	2562
893	21417	2539
894	21451	2516
895	21478	2493
896	21504	2469
897	21530	2445
898	21554	2421
899	21581	2397
900	21604	2373
901	21633	2350
902	21656	2326
903	21684	2302
904	21711	2279
905	21736	2255
906	21764	2231
907	21795	2208
908	21824	2184
909	21847	2160
910	21870	2136
911	21893	2112
912	21916	2088
913	21939	2064
914	21962	2040
915	21985	2016
916	22011	1992
917	22034	1968
918	22059	1944
919	22084	1920
920	22113	1896
921	22147	1873
922	22171	1849
923	22197	1825
924	22220	1801
925	22243	1777
926	22265	1753
927	22288	1729
928	22311	1705
929	22333	1680
930	22356	1656
931	22379	1632
932	22400	1608
933	22425	1584
934	22449	1560
935	22471	1536
936	22496	1512
937	22518	1488
938	22541	1464
939	22566	1440
940	22590	1416
941	22615	1392
942	22641	1368
943	22665	1344
944	22687	1320
945	22711	1296
946	22734	1272
947	22757	1248
948	22782	1224
949	22807	1200
950	22829	1176
951	22850	1152
952	22874	1128
953	22896	1104
954	22919	1079
955	22942	1055
956	22964	1031
957	22986	1007
958	23009	983
959	23031	959
960	23055	935
961	23077	911
962	23100	887
963	23124	863
964	23145	839
965	23167	815
966	23190	791
967	23212	767
968	23234	743
969	23257	719
970	23280	695
971	23303	671
972	23325	647
973	23347	623
974	23371	599
975	23394	575
976	23420	551
977	23441	527
978	23464	503
979	23491	479
980	23514	455
981	23541	431
982	23564	407
983	23587	383
984	23610	359
985	23637	335
986	23661	311
987	23687	287
988	23712	263
989	23737	239
990	23761	215
991	23789	191
992	23816	167
993	23841	143
994	23864	119
995	23889	95
996	23913	71
997	23939	47
998	23963	23
999	23989	0
